Method	ComboName	optionID	MergedFPR	optionTPR	cutoff	FPR	TPR	M6APeakModel	TPRmFPR	maxTPRmFPR	Mode
exomePeak	Combo28	mean_Ex_bin100_P2	0.28	0.6	1.2	0.28	0.76	NEB	0.48	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.28	0.46	1.15	0.28	0.76	NEB	0.48	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.28	0.64	1.15	0.28	0.76	NEB	0.48	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.28	0.06	1.19	0.28	0.76	NEB	0.48	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.29	0.49	1.24	0.29	0.76	NEB	0.47	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.29	0.68	1.29	0.29	0.76	NEB	0.47	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.29	0.07	2.18	0.29	0.76	NEB	0.47	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.29	0.65	1.28	0.29	0.76	NEB	0.47	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.29	0.68	1.29	0.29	0.76	NEB	0.47	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.29	0.6	1.2	0.29	0.76	NEB	0.47	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.29	0.46	1.15	0.29	0.76	NEB	0.47	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.29	0.64	1.14	0.29	0.76	NEB	0.47	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.29	0.06	1.19	0.29	0.76	NEB	0.47	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.3	0.49	1.24	0.3	0.77	NEB	0.47	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.3	0.7	1.24	0.3	0.77	NEB	0.47	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.3	0.07	1.99	0.3	0.77	NEB	0.47	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.3	0.66	1.24	0.3	0.77	NEB	0.47	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.3	0.68	1.29	0.3	0.77	NEB	0.47	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.3	0.6	1.2	0.3	0.77	NEB	0.47	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.3	0.46	1.09	0.3	0.77	NEB	0.47	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.3	0.64	1.13	0.3	0.77	NEB	0.47	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.3	0.06	1.19	0.3	0.77	NEB	0.47	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.31	0.49	1.24	0.31	0.77	NEB	0.46	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.31	0.7	1.24	0.31	0.77	NEB	0.46	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.31	0.07	1.99	0.31	0.77	NEB	0.46	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.31	0.66	1.24	0.31	0.77	NEB	0.46	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.31	0.7	1.25	0.31	0.77	NEB	0.46	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.31	0.6	1.17	0.31	0.77	NEB	0.46	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.31	0.46	1.09	0.31	0.77	NEB	0.46	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.31	0.64	1.12	0.31	0.77	NEB	0.46	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.31	0.06	1.15	0.31	0.77	NEB	0.46	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.32	0.49	1.24	0.32	0.77	NEB	0.45	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.32	0.7	1.24	0.32	0.77	NEB	0.45	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.32	0.08	1.85	0.32	0.77	NEB	0.45	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.32	0.66	1.24	0.32	0.77	NEB	0.45	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.32	0.7	1.25	0.32	0.77	NEB	0.45	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.32	0.6	1.17	0.32	0.77	NEB	0.45	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.32	0.46	1.09	0.32	0.77	NEB	0.45	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.32	0.64	1.12	0.32	0.77	NEB	0.45	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.32	0.06	1.12	0.32	0.77	NEB	0.45	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.33	0.49	1.24	0.33	0.77	NEB	0.44	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.33	0.7	1.24	0.33	0.77	NEB	0.44	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.33	0.08	1.71	0.33	0.77	NEB	0.44	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.33	0.66	1.24	0.33	0.77	NEB	0.44	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.33	0.7	1.25	0.33	0.77	NEB	0.44	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.33	0.62	1.15	0.33	0.77	NEB	0.44	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.33	0.46	1.09	0.33	0.77	NEB	0.44	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.33	0.64	1.11	0.33	0.77	NEB	0.44	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.33	0.06	1.12	0.33	0.77	NEB	0.44	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.34	0.49	1.24	0.34	0.78	NEB	0.44	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.34	0.71	1.2	0.34	0.78	NEB	0.44	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.34	0.08	1.71	0.34	0.78	NEB	0.44	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.34	0.66	1.24	0.34	0.78	NEB	0.44	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.34	0.71	1.22	0.34	0.78	NEB	0.44	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.34	0.62	1.15	0.34	0.78	NEB	0.44	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.34	0.46	1.09	0.34	0.78	NEB	0.44	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.34	0.64	1.1	0.34	0.78	NEB	0.44	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.34	0.06	1.12	0.34	0.78	NEB	0.44	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.35	0.49	1.24	0.35	0.78	NEB	0.43	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.35	0.71	1.2	0.35	0.78	NEB	0.43	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.35	0.08	1.58	0.35	0.78	NEB	0.43	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.35	0.66	1.2	0.35	0.78	NEB	0.43	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.35	0.71	1.22	0.35	0.78	NEB	0.43	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.35	0.62	1.15	0.35	0.78	NEB	0.43	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.35	0.46	1.09	0.35	0.78	NEB	0.43	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.35	0.64	1.1	0.35	0.78	NEB	0.43	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.35	0.06	1.12	0.35	0.78	NEB	0.43	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.36	0.49	1.24	0.36	0.78	NEB	0.42	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.36	0.71	1.2	0.36	0.78	NEB	0.42	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.36	0.08	1.45	0.36	0.78	NEB	0.42	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.36	0.66	1.2	0.36	0.78	NEB	0.42	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.36	0.71	1.22	0.36	0.78	NEB	0.42	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.36	0.62	1.13	0.36	0.78	NEB	0.42	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.36	0.46	1.09	0.36	0.78	NEB	0.42	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.36	0.64	1.1	0.36	0.78	NEB	0.42	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.36	0.06	1.04	0.36	0.78	NEB	0.42	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.37	0.49	1.24	0.37	0.78	NEB	0.41	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.37	0.72	1.17	0.37	0.78	NEB	0.41	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.37	0.08	1.45	0.37	0.78	NEB	0.41	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.37	0.66	1.18	0.37	0.78	NEB	0.41	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.37	0.72	1.2	0.37	0.78	NEB	0.41	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.37	0.62	1.13	0.37	0.78	NEB	0.41	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.37	0.46	1.09	0.37	0.78	NEB	0.41	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.37	0.65	1.08	0.37	0.78	NEB	0.41	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.37	0.06	1.04	0.37	0.78	NEB	0.41	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.38	0.49	1.24	0.38	0.78	NEB	0.4	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.38	0.72	1.17	0.38	0.78	NEB	0.4	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.38	0.08	1.45	0.38	0.78	NEB	0.4	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.38	0.66	1.18	0.38	0.78	NEB	0.4	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.38	0.72	1.2	0.38	0.78	NEB	0.4	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.38	0.62	1.13	0.38	0.78	NEB	0.4	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.38	0.46	1.09	0.38	0.78	NEB	0.4	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.38	0.65	1.07	0.38	0.78	NEB	0.4	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.38	0.06	1.04	0.38	0.78	NEB	0.4	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.39	0.49	1.24	0.39	0.78	NEB	0.39	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.39	0.72	1.17	0.39	0.78	NEB	0.39	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.39	0.08	1.35	0.39	0.78	NEB	0.39	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.39	0.66	1.18	0.39	0.78	NEB	0.39	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.39	0.72	1.18	0.39	0.78	NEB	0.39	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.39	0.62	1.13	0.39	0.78	NEB	0.39	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.39	0.46	1.09	0.39	0.78	NEB	0.39	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.39	0.65	1.06	0.39	0.78	NEB	0.39	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.39	0.06	1.04	0.39	0.78	NEB	0.39	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.4	0.49	1.24	0.4	0.78	NEB	0.38	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.4	0.74	1.15	0.4	0.78	NEB	0.38	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.4	0.08	1.35	0.4	0.78	NEB	0.38	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.4	0.66	1.18	0.4	0.78	NEB	0.38	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.4	0.72	1.18	0.4	0.78	NEB	0.38	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.4	0.62	1.11	0.4	0.78	NEB	0.38	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.4	0.46	1.09	0.4	0.78	NEB	0.38	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.4	0.65	1.05	0.4	0.78	NEB	0.38	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.4	0.06	1.04	0.4	0.78	NEB	0.38	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.41	0.49	1.24	0.41	0.78	NEB	0.37	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.41	0.74	1.15	0.41	0.78	NEB	0.37	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.41	0.08	1.24	0.41	0.78	NEB	0.37	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.41	0.67	1.15	0.41	0.78	NEB	0.37	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.41	0.72	1.18	0.41	0.78	NEB	0.37	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.41	0.62	1.11	0.41	0.78	NEB	0.37	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.41	0.46	1.03	0.41	0.78	NEB	0.37	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.41	0.65	1.05	0.41	0.78	NEB	0.37	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.41	0.06	1.04	0.41	0.78	NEB	0.37	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.42	0.49	1.24	0.42	0.8	NEB	0.38	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.42	0.74	1.15	0.42	0.8	NEB	0.38	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.42	0.08	1.24	0.42	0.8	NEB	0.38	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.42	0.67	1.15	0.42	0.8	NEB	0.38	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.42	0.73	1.16	0.42	0.8	NEB	0.38	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.42	0.62	1.1	0.42	0.8	NEB	0.38	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.42	0.46	1.03	0.42	0.8	NEB	0.38	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.42	0.65	1.05	0.42	0.8	NEB	0.38	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.42	0.06	1.04	0.42	0.8	NEB	0.38	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.43	0.49	1.24	0.43	0.8	NEB	0.37	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.43	0.74	1.15	0.43	0.8	NEB	0.37	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.43	0.08	1.24	0.43	0.8	NEB	0.37	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.43	0.67	1.15	0.43	0.8	NEB	0.37	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.43	0.73	1.16	0.43	0.8	NEB	0.37	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.43	0.62	1.1	0.43	0.8	NEB	0.37	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.43	0.46	1.03	0.43	0.8	NEB	0.37	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.43	0.65	1.04	0.43	0.8	NEB	0.37	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.43	0.06	1.04	0.43	0.8	NEB	0.37	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.44	0.49	1.24	0.44	0.8	NEB	0.36	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.44	0.74	1.13	0.44	0.8	NEB	0.36	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.44	0.08	1.12	0.44	0.8	NEB	0.36	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.44	0.68	1.13	0.44	0.8	NEB	0.36	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.44	0.74	1.15	0.44	0.8	NEB	0.36	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.44	0.63	1.09	0.44	0.8	NEB	0.36	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.44	0.46	1.03	0.44	0.8	NEB	0.36	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.44	0.65	1.04	0.44	0.8	NEB	0.36	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.44	0.06	1.04	0.44	0.8	NEB	0.36	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.45	0.49	1.24	0.45	0.8	NEB	0.35	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.45	0.74	1.13	0.45	0.8	NEB	0.35	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.45	0.08	1.12	0.45	0.8	NEB	0.35	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.45	0.68	1.13	0.45	0.8	NEB	0.35	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.45	0.74	1.15	0.45	0.8	NEB	0.35	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.45	0.63	1.09	0.45	0.8	NEB	0.35	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.45	0.46	1.03	0.45	0.8	NEB	0.35	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.45	0.66	1.03	0.45	0.8	NEB	0.35	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.45	0.06	1.04	0.45	0.8	NEB	0.35	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.46	0.49	1.24	0.46	0.8	NEB	0.34	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.46	0.74	1.12	0.46	0.8	NEB	0.34	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.46	0.08	1.12	0.46	0.8	NEB	0.34	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.46	0.68	1.12	0.46	0.8	NEB	0.34	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.46	0.74	1.15	0.46	0.8	NEB	0.34	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.46	0.63	1.08	0.46	0.8	NEB	0.34	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.46	0.46	1.03	0.46	0.8	NEB	0.34	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.46	0.66	1.03	0.46	0.8	NEB	0.34	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.46	0.06	1.04	0.46	0.8	NEB	0.34	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.47	0.49	1.24	0.47	0.8	NEB	0.33	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.47	0.74	1.12	0.47	0.8	NEB	0.33	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.47	0.08	1.01	0.47	0.8	NEB	0.33	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.47	0.68	1.11	0.47	0.8	NEB	0.33	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.47	0.74	1.13	0.47	0.8	NEB	0.33	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.47	0.63	1.08	0.47	0.8	NEB	0.33	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.47	0.46	1.03	0.47	0.8	NEB	0.33	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.47	0.66	1.03	0.47	0.8	NEB	0.33	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.47	0.06	1.04	0.47	0.8	NEB	0.33	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.48	0.49	1.24	0.48	0.8	NEB	0.32	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.48	0.74	1.12	0.48	0.8	NEB	0.32	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.48	0.08	1.01	0.48	0.8	NEB	0.32	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.48	0.68	1.11	0.48	0.8	NEB	0.32	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.48	0.74	1.13	0.48	0.8	NEB	0.32	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.48	0.63	1.08	0.48	0.8	NEB	0.32	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.48	0.46	1.03	0.48	0.8	NEB	0.32	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.48	0.66	1.03	0.48	0.8	NEB	0.32	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.48	0.06	1.04	0.48	0.8	NEB	0.32	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.49	0.49	1.24	0.49	0.8	NEB	0.31	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.49	0.74	1.12	0.49	0.8	NEB	0.31	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.49	0.08	1.01	0.49	0.8	NEB	0.31	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.49	0.68	1.11	0.49	0.8	NEB	0.31	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.49	0.75	1.12	0.49	0.8	NEB	0.31	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.49	0.63	1.07	0.49	0.8	NEB	0.31	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.49	0.46	1.03	0.49	0.8	NEB	0.31	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.49	0.66	1.03	0.49	0.8	NEB	0.31	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.49	0.06	1.04	0.49	0.8	NEB	0.31	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.5	0.49	1.24	0.5	0.8	NEB	0.3	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.5	0.75	1.1	0.5	0.8	NEB	0.3	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.5	0.08	1.01	0.5	0.8	NEB	0.3	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.5	0.68	1.11	0.5	0.8	NEB	0.3	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.5	0.76	1.11	0.5	0.8	NEB	0.3	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.5	0.63	1.07	0.5	0.8	NEB	0.3	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.5	0.46	1.03	0.5	0.8	NEB	0.3	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.5	0.66	1.03	0.5	0.8	NEB	0.3	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.5	0.06	1.04	0.5	0.8	NEB	0.3	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.51	0.49	1.24	0.51	0.8	NEB	0.29	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.51	0.75	1.1	0.51	0.8	NEB	0.29	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.51	0.08	1.01	0.51	0.8	NEB	0.29	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.51	0.68	1.11	0.51	0.8	NEB	0.29	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.51	0.76	1.11	0.51	0.8	NEB	0.29	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.51	0.63	1.07	0.51	0.8	NEB	0.29	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.51	0.46	1.03	0.51	0.8	NEB	0.29	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.51	0.66	1.02	0.51	0.8	NEB	0.29	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.51	0.06	1.04	0.51	0.8	NEB	0.29	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.52	0.49	1.24	0.52	0.8	NEB	0.28	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.52	0.76	1.09	0.52	0.8	NEB	0.28	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.52	0.08	1.01	0.52	0.8	NEB	0.28	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.52	0.68	1.09	0.52	0.8	NEB	0.28	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.52	0.76	1.1	0.52	0.8	NEB	0.28	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.52	0.64	1.06	0.52	0.8	NEB	0.28	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.52	0.46	1.03	0.52	0.8	NEB	0.28	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.52	0.66	1.01	0.52	0.8	NEB	0.28	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.52	0.06	1.04	0.52	0.8	NEB	0.28	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.53	0.49	1.24	0.53	0.8	NEB	0.27	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.53	0.76	1.08	0.53	0.8	NEB	0.27	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.53	0.08	1.01	0.53	0.8	NEB	0.27	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.53	0.68	1.09	0.53	0.8	NEB	0.27	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.53	0.76	1.09	0.53	0.8	NEB	0.27	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.53	0.64	1.06	0.53	0.8	NEB	0.27	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.53	0.46	1.03	0.53	0.8	NEB	0.27	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.53	0.66	1.01	0.53	0.8	NEB	0.27	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.53	0.06	1.04	0.53	0.8	NEB	0.27	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.54	0.49	1.24	0.54	0.81	NEB	0.27	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.54	0.76	1.08	0.54	0.81	NEB	0.27	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.54	0.08	1.01	0.54	0.81	NEB	0.27	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.54	0.68	1.09	0.54	0.81	NEB	0.27	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.54	0.76	1.09	0.54	0.81	NEB	0.27	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.54	0.64	1.06	0.54	0.81	NEB	0.27	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.54	0.46	1.03	0.54	0.81	NEB	0.27	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.54	0.66	1.01	0.54	0.81	NEB	0.27	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.54	0.06	1.04	0.54	0.81	NEB	0.27	0.58	
