Method	ComboName	optionID	MergedFPR	optionTPR	cutoff	FPR	TPR	M6APeakModel	TPRmFPR	maxTPRmFPR	Mode
TRESS	Combo32	mean_Ex_bin100_P1	0.21	0.63	1.42	0.21	0.74	NEB	0.53	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.21	0.65	1.4	0.21	0.74	NEB	0.53	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.21	0.58	1.28	0.21	0.74	NEB	0.53	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.21	0.44	1.38	0.21	0.74	NEB	0.53	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.21	0.62	1.23	0.21	0.74	NEB	0.53	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.21	0.05	1.38	0.21	0.74	NEB	0.53	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.22	0.48	1.51	0.22	0.74	NEB	0.52	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.22	0.66	1.36	0.22	0.74	NEB	0.52	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.22	0.06	3.98	0.22	0.74	NEB	0.52	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.22	0.63	1.42	0.22	0.74	NEB	0.52	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.22	0.65	1.4	0.22	0.74	NEB	0.52	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.22	0.58	1.28	0.22	0.74	NEB	0.52	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.22	0.44	1.33	0.22	0.74	NEB	0.52	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.22	0.62	1.21	0.22	0.74	NEB	0.52	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.22	0.05	1.35	0.22	0.74	NEB	0.52	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.23	0.48	1.47	0.23	0.74	NEB	0.51	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.23	0.66	1.36	0.23	0.74	NEB	0.51	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.23	0.07	3.53	0.23	0.74	NEB	0.51	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.23	0.64	1.34	0.23	0.74	NEB	0.51	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.23	0.65	1.4	0.23	0.74	NEB	0.51	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.23	0.59	1.24	0.23	0.74	NEB	0.51	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.23	0.45	1.27	0.23	0.74	NEB	0.51	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.23	0.62	1.19	0.23	0.74	NEB	0.51	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.23	0.05	1.35	0.23	0.74	NEB	0.51	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.24	0.49	1.42	0.24	0.76	NEB	0.52	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.24	0.66	1.36	0.24	0.76	NEB	0.52	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.24	0.07	3.34	0.24	0.76	NEB	0.52	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.24	0.64	1.34	0.24	0.76	NEB	0.52	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.24	0.67	1.34	0.24	0.76	NEB	0.52	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.24	0.59	1.24	0.24	0.76	NEB	0.52	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.24	0.45	1.22	0.24	0.76	NEB	0.52	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.24	0.62	1.19	0.24	0.76	NEB	0.52	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.24	0.05	1.3	0.24	0.76	NEB	0.52	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.25	0.49	1.35	0.25	0.76	NEB	0.51	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.25	0.66	1.36	0.25	0.76	NEB	0.51	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.25	0.07	3.12	0.25	0.76	NEB	0.51	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.25	0.64	1.34	0.25	0.76	NEB	0.51	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.25	0.67	1.34	0.25	0.76	NEB	0.51	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.25	0.59	1.24	0.25	0.76	NEB	0.51	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.25	0.45	1.22	0.25	0.76	NEB	0.51	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.25	0.63	1.17	0.25	0.76	NEB	0.51	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.25	0.06	1.27	0.25	0.76	NEB	0.51	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.26	0.49	1.35	0.26	0.76	NEB	0.5	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.26	0.68	1.29	0.26	0.76	NEB	0.5	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.26	0.07	2.7	0.26	0.76	NEB	0.5	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.26	0.64	1.34	0.26	0.76	NEB	0.5	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.26	0.67	1.34	0.26	0.76	NEB	0.5	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.26	0.59	1.24	0.26	0.76	NEB	0.5	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.26	0.46	1.15	0.26	0.76	NEB	0.5	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.26	0.63	1.17	0.26	0.76	NEB	0.5	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.26	0.06	1.27	0.26	0.76	NEB	0.5	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.27	0.49	1.24	0.27	0.76	NEB	0.49	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.27	0.68	1.29	0.27	0.76	NEB	0.49	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.27	0.07	2.52	0.27	0.76	NEB	0.49	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.27	0.64	1.34	0.27	0.76	NEB	0.49	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.27	0.67	1.34	0.27	0.76	NEB	0.49	0.58	
exomePeak	Combo28	mean_Ex_bin100_P2	0.27	0.6	1.2	0.27	0.76	NEB	0.49	0.58	
exomePeak2	Combo5	mean_Tx_bin100_P1	0.27	0.46	1.15	0.27	0.76	NEB	0.49	0.58	
exomePeak2	Combo19	mean_Ex_bin100_P2	0.27	0.63	1.16	0.27	0.76	NEB	0.49	0.58	
MeTPeak	Combo30	mean_Ex_bin0_P1	0.27	0.06	1.22	0.27	0.76	NEB	0.49	0.58	
exomePeak	Combo17	mean_Ex_bin100_P1	0.28	0.49	1.24	0.28	0.76	NEB	0.48	0.58	
MACS2	Combo42	mean_Ex_bin100_P2	0.28	0.68	1.29	0.28	0.76	NEB	0.48	0.58	
MeRIPtools	Combo6	mean_Ex_bin0_P0.1	0.28	0.07	2.35	0.28	0.76	NEB	0.48	0.58	
TRESS	Combo32	mean_Ex_bin100_P1	0.28	0.65	1.28	0.28	0.76	NEB	0.48	0.58	
MACS2	Combo50	mean_Tx_bin100_P2	0.28	0.68	1.29	0.28	0.76	NEB	0.48	0.58	
